fr,en,es
"\C[2]Tana la Fillette :\C[0] Bonjour, ça te dirait de nous affronter en combat duo ?","\c[2]Lass Tana:\c[0] Hello, would you like to double battle us?",\C[2]Tana la Chica:\C[0] Buenos Diàs. ¿Quieres nos enfrentamos en double pelea ?
\C[2]Tana la Fillette :\C[0] Tu es très fort\E comme \F[dresseuse§dresseur]...,\c[2]Lass Tana:\c[0] You're a strong trainer...,\C[2]Tana la Chica:\C[0] Tu eres muy fuerte como entrenador...
\C[2]Tana la Fillette :\C[0] On t'a battu mais pas besoin de repartir au Centre.,\c[2]Lass Tana:\c[0] We won! But there's no need to go back to the Pokémon Center.,\C[2]Tana la Chica:\C[0] Nosotros Ganamos! Pero usted no necessita de ir en el Pokémon Centro.
\C[2]Tana la Fillette :\C[0] Viens me parler si tu souhaites nous affronter de nouveau.,\c[2]Lass Tana:\c[0] Talk to me if you want to battle again.,
\C[2]Tana la Fillette :\C[0] Tu veux encore te battre ?,\c[2]Lass Tana:\c[0] Do you want to battle again?,
\C[2]Tana la Fillette :\C[0] On t'a encore battu mais pas besoin de repartir au Centre.,\c[2]Lass Tana:\c[0] We won again! But there's still no need to go back to the Pokémon Center.,
"\C[2]Tana la Fillette :\C[0] Pas de problème, je comprends. Reviens me voir si tu changes d'avis.","\c[2]Lass Tana:\c[0] I understand, come back if you change your mind.",
"\C[2]Tana la Fillette :\C[0] On en a eu assez, je crois.",\c[2]Lass Tana:\c[0] I think we got enough.,
\C[2]Estelle la Fillette :\C[0] Parle à ma soeurette si tu veux te bastonner avec nous.,\c[2]Lass Estelle:\c[0] talk to my sis if you want to battle us.,
"\C[2]Estelle la Fillette :\C[0] Plus de combat, merci.","\c[2]Lass Estelle:\c[0] No more battle, thanks.",
